"PARK","INDIR","OUTDIR","FOLDER","IN FILE","CHANNEL","OFFSET","DURATION","OUT FILE FS","OUT FILE ZC","DATE","TIME","HOUR","DATE-12","TIME-12","HOUR-12","AUTO ID*","PULSES","MATCHING","MATCH RATIO","MARGIN","ALTERNATE 1","ALTERNATE 2","N","Fc","Sc","Dur","Fmax","Fmin","Fmean","TBC","Fk","Tk","S1","Tc","Qual","FILES","MANUAL ID","ORGID","USERID","REVIEW ORGID","REVIEW USERID","INPATHMD5","OUTPATHMD5FS","OUTPATHMD5ZC"
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_205438.wav","0","0","7.348","","","2023-05-15","20:54:38","20","2023-05-15","08:54:38","8","EPTFUS","12","5","0.417","0.281924","LASNOC","LASCIN","12","29.13","18.06","3.494","34.724","28.557","30.709","486.903","29.576","2.295","183.55","3.057","3.97","1","EPTFUS","","","","","sO6u2siRSz9S/OvH2euvrQ==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_212037.wav","0","0","2.158","","","2023-05-15","21:20:37","21","2023-05-15","09:20:37","9","EPTFUS","2","2","1","0.242906","LASNOC","","2","32.73","116.45","2.616","41.933","31.881","35.8","154.334","36.898","0.917","295.25","2.365","0.91","1","EPTFUS","","","","","58Xyga0pIL1i9upZAdIVZw==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_212339.wav","0","0","3.768","","","2023-05-15","21:23:39","21","2023-05-15","09:23:39","9","EPTFUS","5","2","0.4","0.077302","LASBOR","","5","31.306","14.85","6.897","42.202","30.996","33.667","345.962","31.96","4.654","386.25","6.457","1.19","1","EPTFUS","","","","","E5ZI9MfpRa8PSFZFmkLsGw==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_212801.wav","0","0","4.465","","","2023-05-15","21:28:01","21","2023-05-15","09:28:01","9","EPTFUS","2","1","0.5","0.09689","LASNOC","","2","25.117","69.88","2.978","30.68","23.953","26.421","1160.124","26.698","1.302","112.06","2.482","1.31","1","EPTFUS","","","","","VnxIFiUKQwC2yDXGhEZ9nw==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","LASBOR_20230515_210214.wav","0","0","2.586","","","2023-05-15","21:02:14","21","2023-05-15","09:02:14","9","LASBOR","4","4","1","0.180045","EPTFUS","","4","34.323","17.28","8.986","39.376","33.722","35.7","310.91","35.216","5.504","135.64","7.486","1.39","1","LASBOR","","","","","XEFzo5z2sM+8lTKZOtteNQ==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_205403.wav","0","0","3.241","","","2023-05-15","20:54:03","20","2023-05-15","08:54:03","8","NoID","3","0","0","0","","","3","33.671","34.77","2.371","43.514","32.076","36.194","243.466","34.141","1.482","50.52","1.994","1.34","1","EPTFUS","","","","","a7SqebCFY/p7+I/nbg6g7w==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_204904.wav","0","0","4.276","","","2023-05-15","20:49:04","20","2023-05-15","08:49:04","8","NoID","2","0","0","0","","","2","34.376","119.98","2.37","54.45","34.36","40.547","1151.728","35.741","1.854","639.39","2.37","0.95","1","EPTFUS","","","","","PvBlbHpMfN9acIQxJf3XgA==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_211444.wav","0","0","3.369","","","2023-05-15","21:14:44","21","2023-05-15","09:14:44","9","NoID","6","0","0","0","","","6","33.781","130.77","2.443","46.419","33.322","37.767","262.906","37.234","1.282","441.48","2.306","1.64","1","EPTFUS","","","","","O+UcKJbMuafHcUbevlPErQ==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_204617.wav","0","0","7.111","","","2023-05-15","20:46:17","20","2023-05-15","08:46:17","8","NoID","18","0","0","0","","","18","33.876","122.34","3.674","59.106","32.44","41.325","235.59","37.544","2.326","540.49","3.321","7.36","1","EPTFUS","","","","","gPkyDlBLgUbCNSJnWjpq4Q==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","EPTFUS_20230515_212039.wav","0","0","3.59","","","2023-05-15","21:20:39","21","2023-05-15","09:20:39","9","NoID","8","0","0","0","","","8","34.48","153.64","2.966","67.105","33.831","44.666","156.572","37.997","2.123","580.63","2.877","2.35","1","EPTFUS","","","","","TSuKSeemNduYrCxu0GkADQ==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","MYOSEP_20230515_212540.wav","0","0","2.832","","","2023-05-15","21:25:40","21","2023-05-15","09:25:40","9","NoID","6","0","0","0","","","6","36.209","156.78","2.583","59.203","35.571","42.842","258.414","42.373","1.199","557.04","2.309","2.43","1","MYOSEP","","","","","xkS+T9umBMvgniSNMObjzQ==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","MYOLUC_20230515_211220.wav","0","0","5.715","","","2023-05-15","21:12:20","21","2023-05-15","09:12:20","9","NoID","9","0","0","0","","","9","40.561","43.46","3.168","50.019","39.662","43.175","288.294","42.144","2.054","295.43","2.768","3.74","1","MYOLUC","","","","","+kAVWMTL5QFpXvzAfGQzZw==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","LASNOC_20230515_205705.wav","0","0","7.044","","","2023-05-15","20:57:05","20","2023-05-15","08:57:05","8","NoID","4","0","0","0","","","4","26.174","7.64","4.753","30.233","25.605","27.09","886.663","26.387","2.733","40.71","3.799","1.04","1","LASNOC","","","","","nScF9OLrWF1e1zDvGPvRBA==","",""
"VCP","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023","/Users/ryanmahoney/Desktop/Gotham Bat Con/NABat/Session_1_VCP_5.15.2023/Outputs","","LASNOC_20230515_210303.wav","0","0","14.518","","","2023-05-15","21:03:03","21","2023-05-15","09:03:03","9","NoID","24","0","0","0","","","24","26.601","15.61","5.771","30.218","25.953","27.618","448.725","27.149","3.515","61.12","4.789","6.05","1","LASNOC","","","","","h/59D+2oOnGQGN7UldHHDA==","",""
